last_name,fisa_courts_reform_act,s_1551_iosra,fisa_improvements_act,fisa_transparency_and_modernization_act,surveillance_state_repeal_act,usa_freedom_prior_to_2014-05-18,voted_for_conyers_amash_amendment,voted_for_house_version_of_usa_freedom_act_2014,voted_for_massie_lofgren_amendment_2014,whistleblower_protection_for_ic_employees_contractors,1st_usaf_cloture_vote,straight_reauth,fisa_reform_act,amendment_1449_data_retention,amendment_1450_extend_implementation_to_1yr,amendment_1451_gut_amicus,final_passage_usaf,702_reforms,massie_lofgren_amendment_to_hr2685_defund_702,massie_lofgren_amendment_to_hr4870_no_backdoors
Abraham,,,,,,,,,,,,,,,,,OK,,BAD,
Adams,,,,,,,,,,,,,,,,,OK,,GOOD,
Aderholt,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Aguilar,,,,,,,,,,,,,,,,,OK,,GOOD,
Alexander,,,,,,,,,,,OK,BAD,,BAD,BAD,BAD,OK,,,
Allen,,,,,,,,,,,,,,,,,OK,,BAD,
Amash,,,,,,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
Amodei,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Ashford,,,,,,,,,,,,,,,,,OK,,GOOD,
Ayotte,,,,,,,,,,,OK,BAD,,BAD,BAD,BAD,OK,,,
Babin,,,,,,,,,,,,,,,,,OK,,GOOD,
Baldwin,X,X,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,GOOD,,,
Barletta,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Barr,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Barrasso,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Barton,,,,,,,X,,X,,,,,,,,OK,,GOOD,GOOD
Bass,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Beatty,,,,,,,,X,,,,,,,,,OK,,GOOD,BAD
Becerra,,,,,,,X,,X,,,,,,,,OK,,GOOD,GOOD
Benishek,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Bennet,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Bera,,,,,,X,,X,X,,,,,,,,OK,,BAD,GOOD
Beyer,,,,,,,,,,,,,,,,,OK,,GOOD,
Bilirakis,,,,,,,,X,,,,,,,,,OK,,GOOD,BAD
Bishop,,,,,,,,,,,,,,,,,OK,,GOOD,
Bishop,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Bishop,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Black,,,,,,,X,X,X,,,,,,,,OK,X,GOOD,GOOD
Blackburn,,,,,,,X,X,X,,,,,,,,OK,X,GOOD,GOOD
Blum,,,,,,,,,,,,,,,,,GOOD,,GOOD,
Blumenauer,,,,,X,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
Blumenthal,,X,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Blunt,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Boehner,,,,,,,,,,,,,,,,,OK,,,
Bonamici,,,,,,X,X,,X,,,,,,,,OK,,GOOD,GOOD
Booker,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Boozman,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,OK,,,
Bost,,,,,,,,,,,,,,,,,OK,,BAD,
Boustany,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Boxer,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Boyle,,,,,,,,,,,,,,,,,OK,,GOOD,
Brady,,,,,,,,X,,,,,,,,,OK,,GOOD,GOOD
Brady,,,,,,,X,,X,,,,,,,,OK,,BAD,BAD
Brat,,,,,,,,,,,,,,,,,GOOD,,GOOD,
Bridenstine,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Brooks,,,,,,,,X,X,,,,,,,,GOOD,,GOOD,GOOD
Brooks,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Brown,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Brown,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Brownley,,,,,,X,,X,,,,,,,,,OK,,BAD,BAD
Buchanan,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Buck,,,,,,,,,,,,,,,,,OK,X,GOOD,
Bucshon,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Burgess,,,,,,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
Burr,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Bustos,,,,,,,,X,,,,,,,,,OK,,GOOD,BAD
Butterfield,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Byrne,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Calvert,,,,,,,,,,,,,,,,,OK,,BAD,BAD
Cantwell,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Capito,,,,,,,,X,X,,BAD,BAD,,BAD,BAD,BAD,OK,,,GOOD
Capps,,,,,,,,,,,,,,,,,OK,,GOOD,GOOD
Capuano,,,,,X,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
Cárdenas,,,,,,,X,,X,,,,,,,,OK,,GOOD,GOOD
Cardin,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Carney,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Carper,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Carson,,,,,,X,X,X,X,,,,,,,,OK,,BAD,GOOD
Carter,,,,,,,,,,,,,,,,,OK,,GOOD,
Carter,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Cartwright,,,,,,,X,,X,,,,,,,,OK,,GOOD,GOOD
Casey,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Cassidy,,,,,,,X,X,X,,BAD,BAD,,BAD,BAD,BAD,OK,,,
Castor,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Castro,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Chabot,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Chaffetz,,,,,,,X,X,X,,,,,,,,OK,,BAD,GOOD
Chu,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Cicilline,,,,,,X,X,X,X,,,,,,,,OK,X,GOOD,GOOD
Clark,,,,,,X,,,X,,,,,,,,GOOD,,GOOD,GOOD
Clarke,,,,,,,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Clawson,,,,,,,,,,,,,,,,,GOOD,,,
Clay,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Cleaver,,,,,,,X,X,X,,,,,,,,GOOD,,GOOD,GOOD
Clyburn,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Coats,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Cochran,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Coffman,,,,,,X,X,X,X,,,,,,,,OK,,BAD,GOOD
Cohen,,,,,,X,X,X,X,,,,,,,,OK,X,GOOD,GOOD
Cole,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Collins,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Collins,,,,,,,,X,X,,,,,,,,OK,X,GOOD,GOOD
Collins,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Comstock,,,,,,,,,,,,,,,,,OK,,BAD,
Conaway,,,,X,,,,X,,,,,,,,,OK,,BAD,BAD
Connolly,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Conyers,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Cook,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Coons,X,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Cooper,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Corker,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
