first,name,organization,image (please don't edit),bioguide,twitter,state,phone,email,party affiliation,office 1,office 1 phone,office 1 geo,office 2,office 2 phone,office 2 geo,office 3,office 3 phone,office 3 geo,office 4,office 4 phone,office 4 geo,office 5,office 5 phone,office 5 geo,office 6,office 6 phone,office 6 geo,office 7,office 7 phone,office 7 geo,office 8,office 8 phone,office 8 geo,Event 1,Event 2,EFF score -4 (to,First cloture vote USAF,,,sp/co FISA Courts Reform Act (+3),"sp/co S. 1551, IOSRA (+4)",sp/co FISA Improvements Act (-4),sp/co FISA Transparency & Modernization Act (-4),sp/co Surveillance State Repeal Act (2014 or 2015) (+4),sp/co USA FREEDOM prior to 2014-05-18 (+2),voted for Conyers/Amash amendment (+4),voted for House version of USA Freedom 2014 (-2),voted for Massie-Lofgren amendment 2014 (+3),Sp/co whistleblower protection for IC employees/contractors,1st USAF cloture vote,Straight reauth,Sp/co FISA Reform Act,Amdmt 1449: Data retention,Amdmt 1450: Extend implementation to 1yr,Amdmt 1451: Gut amicus,Final passage USAF,Sp/co 702 reforms (+4),Massie-Lofgrenamdmt to HR2685: Defund 702 (+3/-3),Massie-Lofgren amdmt on HR4870: No Encryption Backdoors (+3/-3),Total points,Grade,,,
Ralph,Abraham,House,laabrahamralph.jpg,A000374,,Louisiana,,,Republican,,,"Carl Elliott Federal Building, Room 247
1710 Alabama Avenue
Jasper, AL 35501-5400",205-221-2310,"38.886944,-77.006944","205 Fourth Avenue Northeast, Suite 104
Cullman, AL 35055",256-734-6043,"34.180779,-86.840634","Federal Building, Suite 107
600 Broad Street
Gadsden, AL 35901-3745",256-546-0201,"34.01421,-86.006846","1011 George Wallace Boulevard, Suite 146
Tuscumbia, AL 35674",256-381-3450,"34.7412348,-87.6794142",,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0,-2,D+,,,
Alma,Adams,House,ncadamsalma.jpg,A000370,,North Carolina,,,Democrat,,,"110 Michigan Street NW, Suite 460
Grand Rapids, MI 49503",616-451-8383,"42.9699576,-85.6709372","70 West Michigan Avenue, Suite 212
Battle Creek, MI 49017",269-205-3823,"42.3213842,-85.1838246",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,C,,,
Robert,Aderholt,House,aladerholtrobertb.jpg,A000055,Robert_Aderholt,Alabama,202-225-4876,,Republican,,,"5310 Kietzke Lane, Suite 103
Reno, NV 89511",775-686-5760,"39.471496,-119.791243","905 Railroad Street, Suite 104D
Elko, NV 89801",775-777-7705,"40.835776,-115.7580835",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Pete,Aguilar,House,caaguilarpete.jpg,A000371,,California,,,Democrat,,,"321 West 11th Street, Suites 100 & 200
Charlotte, NC 28202",704-344-9950,"35.4849516,-79.1605092","1600 East Wendover Avenue, Suite 1
Greensboro, NC 27405",336-275-9950,"36.086777,-79.763934",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,C,,,
Lamar,Alexander,Senate,tnalexanderlamar.jpg,A000360,SenAlexander,Tennessee,(202) 224-4944,http://www.alexander.senate.gov/public/index.cfm/email,Republican,"Joel E. Soloman Federal Building, #260
900 Georgia Avenue
Chattanooga, TN 37402",423-752-5337,"35.0451099,-85.3082016","Tri-Cities Regional Airport, Suite 101
2525 Highway 75
Blountville, TN 37617",423-325-6240,"36.4809874,-82.4080296","111 Murray Guard Drive, Suite D
Jackson, TN 38305",731-664-0289,"35.693264,-88.852707","3322 West End Avenue, #120
Nashville, TN 37203",615-736-5129,"36.1399585,-86.8199251","Howard H. Baker Jr. U.S. Court House, Suite 112
800 Market Street
Knoxville, TN 37902",865-545-4253,"35.96172,-83.917758","Clifford Davis-Odell Horton Federal Building, Suite 1068
167 North Main Street
Memphis, TN 38103",901-544-4224,"35.149687,-90.0515906",,,,,,,,,-,1,,,0,0,0,0,0,0,0,0,0,0,1,-3,0,-3,-2,-3,1,0,0,0,-9,D-,,,
Rick,Allen,House,gaallenrick.jpg,A000372,,Georgia,,,Republican,,,"8300 Utica Avenue, Suite 105
Rancho Cucamonga, CA 91730",909-980-1492,"34.102528,-117.57183",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0,-2,D+,,,
Justin,Amash,House,miamashjustin.jpg,A000367,RepJustinAmash,Michigan,,,Republican,,,"2743 Perimeter Parkway, Bldg. 200 Suite 225
Augusta, GA 30909",706-228-1980,"33.4874036,-82.0841434","101 North Jefferson Street
Dublin, GA 31021",478-272-4030,"32.5401728,-82.9038592","50 East Main Street
Statesboro, GA 30458",912-243-9452 ,"32.4484466,-81.7815324","107 Old Airport Road, Suite A
Vidalia, GA 30475",912-403-3311,"32.2037946,-82.3763107",,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,4,4,3,3,23,A+,,,
Mark,Amodei,House,nvamodeimarke.jpg,A000369,MarkAmodeiNV2,Nevada,,,Republican,,,"426 DeSiard Street
Monroe, LA 71201",318-322-3500 ,"32.5035643,-92.114463","1434 Dorchester Drive, Suite E
Alexandria, LA 71301",318-445-0818 ,"31.281245,-92.47714",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,-2,3,0,0,0,0,0,0,0,1,0,3,3,14,A,,,
Brad,Ashford,House,neashfordbrad.png,A000373,,Nebraska,,,Democrat,,,"6001 West Ronald Reagan Memorial Highway, Suite 200
Arlington, TX 76017",817-543-1000,"32.6614911,-97.1467072","2106 A West Ennis Avenue
Ennis, TX 75119",972-875-8488,"32.3198663,-96.6470221",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,C,,,
Kelly,Ayotte,Senate,nhayottekelly.jpg,A000368,KellyAyotte,New Hampshire,(202) 224-3324,http://www.ayotte.senate.gov/?p=contact,Republican,"1200 Elm Street, Suite 2
Manchester, NH 03101-2503",603-622-7979,"42.995106,-71.463785","144 Main Street
Nashua, NH 03060",603-880-3335,"42.7621496,-71.4658706","14 Manchester Square, Suite 140
Portsmouth, NH 03801",603-436-7161,"43.0855891,-70.8098376","19 Pleasant Street, Suite 13B
Berlin, NH 03570",603-752-7702,"44.465937,-71.1852098",,,,,,,,,,,,,,,-,1,,,0,0,0,0,0,0,0,0,0,0,1,-3,0,-3,-2,-3,1,0,0,0,-9,D-,,,
